"sp_image";"sp_habitat";"order";"family";"sp_common";"sp_ebird"
"Campylopterus hyperythrus";"Campylopterus hyperythrus";"CAPRIMULGIFORMES";"Trochilidae";"Rufous-breasted Sabrewing";"Campylopterus hyperythrus"
"Garrulax leucolophus";"Garrulax leucolophus";"PASSERIFORMES";"Leiothrichidae";"White-crested Laughingthrush";"Garrulax leucolophus"
"Sicalis flaveola";"Sicalis flaveola";"PASSERIFORMES";"Thraupidae";"Saffron Finch";"Sicalis flaveola"
"Spiza americana";"Spiza americana";"PASSERIFORMES";"Cardinalidae";"Dickcissel";"Spiza americana"
"Epimachus albertisi";"Drepanornis albertisi";"PASSERIFORMES";"Paradisaeidae";"Black-billed Sicklebill";"Drepanornis albertisi"
"Oceanodroma markhami";"Hydrobates markhami";"PROCELLARIIFORMES";"Hydrobatidae";"Markham's Storm-petrel";"Hydrobates markhami"
"Pluvianus aegyptius";"Pluvianus aegyptius";"CHARADRIIFORMES";"Pluvianidae";"Egyptian Plover";"Pluvianus aegyptius"
"Cisticola chiniana";"Cisticola chiniana";"PASSERIFORMES";"Cisticolidae";"Rattling Cisticola";"Cisticola chiniana"
"Irania gutturalis";"Irania gutturalis";"PASSERIFORMES";"Muscicapidae";"White-throated Robin";"Irania gutturalis"
"Larus hyperboreus";"Larus hyperboreus";"CHARADRIIFORMES";"Laridae";"Glaucous Gull";"Larus hyperboreus"
"Aimophila cassinii";"Peucaea cassinii";"PASSERIFORMES";"Passerellidae";"Cassin's Sparrow";"Peucaea cassinii"
"Terpsiphone corvina";"Terpsiphone corvina";"PASSERIFORMES";"Monarchidae";"Seychelles Paradise-flycatcher";"Terpsiphone corvina"
"Phylloscopus humei";"Phylloscopus humei";"PASSERIFORMES";"Phylloscopidae";"Hume's Leaf-warbler";"Phylloscopus humei"
"Picumnus albosquamatus";"Picumnus albosquamatus";"PICIFORMES";"Picidae";"White-wedged Piculet";"Picumnus albosquamatus"
"Euphonia mesochrysa";"Euphonia mesochrysa";"PASSERIFORMES";"Fringillidae";"Bronze-green Euphonia";"Euphonia mesochrysa"
"Charadrius pecuarius";"Charadrius pecuarius";"CHARADRIIFORMES";"Charadriidae";"Kittlitz's Plover";"Anarhynchus pecuarius"
"Hemiphaga novaeseelandiae";"Hemiphaga novaeseelandiae";"COLUMBIFORMES";"Columbidae";"New Zealand Pigeon";"Hemiphaga novaeseelandiae"
"Sheppardia cyornithopsis";"Sheppardia cyornithopsis";"PASSERIFORMES";"Muscicapidae";"Lowland Akalat";"Sheppardia cyornithopsis"
"Scissirostrum dubium";"Scissirostrum dubium";"PASSERIFORMES";"Sturnidae";"Grosbeak Starling";"Scissirostrum dubium"
"Prosopeia splendens";"Prosopeia splendens";"PSITTACIFORMES";"Psittacidae";"Crimson Shining-parrot";"Prosopeia splendens"
"Stachyris chrysaea";"Cyanoderma chrysaeum";"PASSERIFORMES";"Timaliidae";"Golden Babbler";"Cyanoderma chrysaeum"
"Melanocorypha mongolica";"Melanocorypha mongolica";"PASSERIFORMES";"Alaudidae";"Mongolian Lark";"Melanocorypha mongolica"
"Glaucidium castanonotum";"Glaucidium castanotum";"STRIGIFORMES";"Strigidae";"Chestnut-backed Owlet";"Glaucidium castanotum"
"Muscicapa tessmanni";"Fraseria tessmanni";"PASSERIFORMES";"Muscicapidae";"Tessmann's Flycatcher";"Fraseria tessmanni"
"Caprimulgus macrurus";"Caprimulgus macrurus";"CAPRIMULGIFORMES";"Caprimulgidae";"Large-tailed Nightjar";"Caprimulgus macrurus"
"Dioptrornis fischeri";"Melaenornis fischeri";"PASSERIFORMES";"Muscicapidae";"White-eyed Slaty-flycatcher";"Melaenornis fischeri"
"Psalidoprocne albiceps";"Psalidoprocne albiceps";"PASSERIFORMES";"Hirundinidae";"White-headed Saw-wing";"Psalidoprocne albiceps"
"Gallinago gallinago";"Gallinago gallinago";"CHARADRIIFORMES";"Scolopacidae";"Common Snipe";"Gallinago gallinago"
"Contopus fumigatus";"Contopus fumigatus";"PASSERIFORMES";"Tyrannidae";"Smoke-colored Pewee";"Contopus fumigatus"
"Ducula galeata";"Ducula galeata";"COLUMBIFORMES";"Columbidae";"Nuku Hiva Imperial Pigeon";"Ducula galeata"
"Oporornis philadelphia";"Geothlypis philadelphia";"PASSERIFORMES";"Parulidae";"Mourning Warbler";"Geothlypis philadelphia"
"Psalidoprocne obscura";"Psalidoprocne obscura";"PASSERIFORMES";"Hirundinidae";"Fanti Saw-wing";"Psalidoprocne obscura"
"Balaeniceps rex";"Balaeniceps rex";"PELECANIFORMES";"Balaenicipitidae";"Shoebill";"Balaeniceps rex"
"Trogon caligatus";"Trogon violaceus";"TROGONIFORMES";"Trogonidae";"Violaceous Trogon";"Trogon caligatus"
"Dendrocolaptes picumnus";"Dendrocolaptes picumnus";"PASSERIFORMES";"Furnariidae";"Black-banded Woodcreeper";"Dendrocolaptes picumnus"
"Pelecanoides garnotii";"Pelecanoides garnotii";"PROCELLARIIFORMES";"Procellariidae";"Peruvian Diving-petrel";"Pelecanoides garnotii"
"Nesoenas picturata";"Nesoenas picturatus";"COLUMBIFORMES";"Columbidae";"Madagascar Turtle-dove";"Nesoenas picturatus"
"Enicurus schistaceus";"Enicurus schistaceus";"PASSERIFORMES";"Muscicapidae";"Slaty-backed Forktail";"Enicurus schistaceus"
"Aramides cajanea";"Aramides cajaneus";"GRUIFORMES";"Rallidae";"Grey-cowled Wood-rail";"Aramides cajaneus"
"Mimus triurus";"Mimus triurus";"PASSERIFORMES";"Mimidae";"White-banded Mockingbird";"Mimus triurus"
"Melanocorypha bimaculata";"Melanocorypha bimaculata";"PASSERIFORMES";"Alaudidae";"Bimaculated Lark";"Melanocorypha bimaculata"
"Ortygospiza atricollis";"Ortygospiza atricollis";"PASSERIFORMES";"Estrildidae";"African Quailfinch";"Ortygospiza atricollis"
"Andropadus masukuensis";"Arizelocichla masukuensis";"PASSERIFORMES";"Pycnonotidae";"Shelley's Greenbul";"Arizelocichla masukuensis"
"Pachycephala soror";"Pachycephala soror";"PASSERIFORMES";"Pachycephalidae";"Sclater's Whistler";"Pachycephala soror"
"Basileuterus fraseri";"Myiothlypis fraseri";"PASSERIFORMES";"Parulidae";"Grey-and-gold Warbler";"Myiothlypis fraseri"
"Prinia leucopogon";"Schistolais leucopogon";"PASSERIFORMES";"Cisticolidae";"White-chinned Prinia";"Schistolais leucopogon"
"Syrrhaptes tibetanus";"Syrrhaptes tibetanus";"PTEROCLIFORMES";"Pteroclidae";"Tibetan Sandgrouse";"Syrrhaptes tibetanus"
"Empidonax fulvifrons";"Empidonax fulvifrons";"PASSERIFORMES";"Tyrannidae";"Buff-breasted Flycatcher";"Empidonax fulvifrons"
"Ducula mullerii";"Ducula mullerii";"COLUMBIFORMES";"Columbidae";"Collared Imperial-pigeon";"Ducula mullerii"
"Alethe poliophrys";"Chamaetylas poliophrys";"PASSERIFORMES";"Muscicapidae";"Red-throated Alethe";"Chamaetylas poliophrys"
"Aquila africanus";"Aquila africana";"ACCIPITRIFORMES";"Accipitridae";"Cassin's Hawk-eagle";"Aquila africana"
"Phalacrocorax magellanicus";"Leucocarbo magellanicus";"SULIFORMES";"Phalacrocoracidae";"Rock Shag";"Leucocarbo magellanicus"
"Amandava amandava";"Amandava amandava";"PASSERIFORMES";"Estrildidae";"Red Avadavat";"Amandava amandava"
"Oriolus percivali";"Oriolus percivali";"PASSERIFORMES";"Oriolidae";"Mountain Oriole";"Oriolus percivali"
"Pitta versicolor";"Pitta versicolor";"PASSERIFORMES";"Pittidae";"Noisy Pitta";"Pitta versicolor"
"Lalage leucopygialis";"Lalage leucopygialis";"PASSERIFORMES";"Campephagidae";"White-rumped Triller";"Lalage leucopygialis"
"Rissa tridactyla";"Rissa tridactyla";"CHARADRIIFORMES";"Laridae";"Black-legged Kittiwake";"Rissa tridactyla"
"Gymnoderus foetidus";"Gymnoderus foetidus";"PASSERIFORMES";"Cotingidae";"Bare-necked Fruitcrow";"Gymnoderus foetidus"
"Pericrocotus erythropygius";"Pericrocotus erythropygius";"PASSERIFORMES";"Campephagidae";"White-bellied Minivet";"Pericrocotus erythropygius"
"Diglossa cyanea";"Diglossa cyanea";"PASSERIFORMES";"Thraupidae";"Masked Flowerpiercer";"Diglossa cyanea"
"Cnemoscopus rubrirostris";"Cnemoscopus rubrirostris";"PASSERIFORMES";"Thraupidae";"Grey-hooded Tanager";"Cnemoscopus rubrirostris"
"Dendroica kirtlandii";"Setophaga kirtlandii";"PASSERIFORMES";"Parulidae";"Kirtland's Warbler";"Setophaga kirtlandii"
"Arremon virenticeps";"Arremon virenticeps";"PASSERIFORMES";"Passerellidae";"Green-striped Brushfinch";"Arremon virenticeps"
"Jabouilleia danjoui";"Napothera danjoui";"PASSERIFORMES";"Pellorneidae";"Indochinese Wren-babbler";"Napothera danjoui"
"Thamnophilus amazonicus";"Thamnophilus amazonicus";"PASSERIFORMES";"Thamnophilidae";"Amazonian Antshrike";"Thamnophilus amazonicus"
"Phaenicophilus palmarum";"Phaenicophilus palmarum";"PASSERIFORMES";"Phaenicophilidae";"Black-crowned Palm-tanager";"Phaenicophilus palmarum"
"Falco deiroleucus";"Falco deiroleucus";"FALCONIFORMES";"Falconidae";"Orange-breasted Falcon";"Falco deiroleucus"
"Parus dichrous";"Lophophanes dichrous";"PASSERIFORMES";"Paridae";"Grey-crested Tit";"Lophophanes dichrous"
"Zenaida graysoni";"Zenaida graysoni";"COLUMBIFORMES";"Columbidae";"Socorro Dove";"Zenaida graysoni"
"Eremopterix nigriceps";"Eremopterix nigriceps";"PASSERIFORMES";"Alaudidae";"Black-crowned Sparrow-lark";"Eremopterix nigriceps"
"Campephaga oriolina";"Lobotos oriolinus";"PASSERIFORMES";"Campephagidae";"Eastern Wattled Cuckooshrike";"Lobotos oriolinus"
"Tockus deckeni";"Tockus deckeni";"BUCEROTIFORMES";"Bucerotidae";"Von der Decken's Hornbill";"Tockus deckeni"
"Spreo fischeri";"Lamprotornis fischeri";"PASSERIFORMES";"Sturnidae";"Fischer's Starling";"Lamprotornis fischeri"
"Chondestes grammacus";"Chondestes grammacus";"PASSERIFORMES";"Passerellidae";"Lark Sparrow";"Chondestes grammacus"
"Elaenia flavogaster";"Elaenia flavogaster";"PASSERIFORMES";"Tyrannidae";"Yellow-bellied Elaenia";"Elaenia flavogaster"
"Anhinga novaehollandiae";"Anhinga novaehollandiae";"SULIFORMES";"Anhingidae";"Australasian Darter";"Anhinga novaehollandiae"
"Actitis hypoleucos";"Actitis hypoleucos";"CHARADRIIFORMES";"Scolopacidae";"Common Sandpiper";"Actitis hypoleucos"
"Falco hypoleucos";"Falco hypoleucos";"FALCONIFORMES";"Falconidae";"Grey Falcon";"Falco hypoleucos"
"Accipiter madagascariensis";"Accipiter madagascariensis";"ACCIPITRIFORMES";"Accipitridae";"Madagascar Sparrowhawk";"Accipiter madagascariensis"
"Todiramphus recurvirostris";"Todiramphus recurvirostris";"CORACIIFORMES";"Alcedinidae";"Flat-billed Kingfisher";"Todiramphus recurvirostris"
"Melanerpes cactorum";"Melanerpes cactorum";"PICIFORMES";"Picidae";"White-fronted Woodpecker";"Melanerpes cactorum"
"Conirostrum bicolor";"Conirostrum bicolor";"PASSERIFORMES";"Thraupidae";"Bicolored Conebill";"Conirostrum bicolor"
"Oreoscoptes montanus";"Oreoscoptes montanus";"PASSERIFORMES";"Mimidae";"Sage Thrasher";"Oreoscoptes montanus"
"Oriolus tenuirostris";"Oriolus tenuirostris";"PASSERIFORMES";"Oriolidae";"Slender-billed Oriole";"Oriolus tenuirostris"
"Aquila verreauxii";"Aquila verreauxii";"ACCIPITRIFORMES";"Accipitridae";"Verreaux's Eagle";"Aquila verreauxii"
"Herpsilochmus roraimae";"Herpsilochmus roraimae";"PASSERIFORMES";"Thamnophilidae";"Roraiman Antwren";"Herpsilochmus roraimae"
"Heterospingus rubrifrons";"Heterospingus rubrifrons";"PASSERIFORMES";"Thraupidae";"Sulphur-rumped Tanager";"Heterospingus rubrifrons"
"Clytoceyx rex";"Dacelo rex";"CORACIIFORMES";"Alcedinidae";"Shovel-billed Kookaburra";"Dacelo rex"
"Euphonia chrysopasta";"Euphonia chrysopasta";"PASSERIFORMES";"Fringillidae";"White-lored Euphonia";"Euphonia chrysopasta"
"Larus brunnicephalus";"Larus brunnicephalus";"CHARADRIIFORMES";"Laridae";"Brown-headed Gull";"Chroicocephalus brunnicephalus"
"Menura alberti";"Menura alberti";"PASSERIFORMES";"Menuridae";"Albert's Lyrebird";"Menura alberti"
"Gecinulus viridis";"Gecinulus viridis";"PICIFORMES";"Picidae";"Bamboo Woodpecker";"Gecinulus viridis"
"Charadrius hiaticula";"Charadrius hiaticula";"CHARADRIIFORMES";"Charadriidae";"Common Ringed Plover";"Charadrius hiaticula"
"Thraupis cyanoptera";"Tangara cyanoptera";"PASSERIFORMES";"Thraupidae";"Azure-shouldered Tanager";"Thraupis cyanoptera"
"Chloropsis aurifrons";"Chloropsis aurifrons";"PASSERIFORMES";"Chloropseidae";"Golden-fronted Leafbird";"Chloropsis aurifrons"
"Chloropsis sonnerati";"Chloropsis sonnerati";"PASSERIFORMES";"Chloropseidae";"Greater Green Leafbird";"Chloropsis sonnerati"
"Hylophilus semibrunneus";"Pachysylvia semibrunnea";"PASSERIFORMES";"Vireonidae";"Rufous-naped Greenlet";"Pachysylvia semibrunnea"
"Phylloscopus trochilus";"Phylloscopus trochilus";"PASSERIFORMES";"Phylloscopidae";"Willow Warbler";"Phylloscopus trochilus"
"Hirundo dimidiata";"Hirundo dimidiata";"PASSERIFORMES";"Hirundinidae";"Pearl-breasted Swallow";"Hirundo dimidiata"
"Prinia robertsi";"Oreophilais robertsi";"PASSERIFORMES";"Cisticolidae";"Briar Warbler";"Oreophilais robertsi"
"Pionopsitta pileata";"Pionopsitta pileata";"PSITTACIFORMES";"Psittacidae";"Pileated Parrot";"Pionopsitta pileata"
"Hylophilus decurtatus";"Pachysylvia decurtata";"PASSERIFORMES";"Vireonidae";"Lesser Greenlet";"Pachysylvia decurtata"
"Alophoixus bres";"Alophoixus bres";"PASSERIFORMES";"Pycnonotidae";"Brown-cheeked Bulbul";"Alophoixus bres"
"Falco jugger";"Falco jugger";"FALCONIFORMES";"Falconidae";"Laggar Falcon";"Falco jugger"
"Onychorhynchus mexicanus";"Onychorhynchus mexicanus";"PASSERIFORMES";"Tityridae";"Northern Royal Flycatcher";"Onychorhynchus coronatus"
"Chrysuronia oenone";"Chrysuronia oenone";"CAPRIMULGIFORMES";"Trochilidae";"Golden-tailed Sapphire";"Chrysuronia oenone"
"Platalea ajaja";"Platalea ajaja";"PELECANIFORMES";"Threskiornithidae";"Roseate Spoonbill";"Platalea ajaja"
"Basileuterus rufifrons";"Basileuterus rufifrons";"PASSERIFORMES";"Parulidae";"Rufous-capped Warbler";"Basileuterus rufifrons"
"Erythrura gouldiae";"Chloebia gouldiae";"PASSERIFORMES";"Estrildidae";"Gouldian Finch";"Chloebia gouldiae"
"Myadestes elisabeth";"Myadestes elisabeth";"PASSERIFORMES";"Turdidae";"Cuban Solitaire";"Myadestes elisabeth"
"Salpornis spilonotus";"Salpornis spilonota";"PASSERIFORMES";"Sittidae";"Indian Spotted Creeper";"Salpornis spilonota"
"Dendroica castanea";"Setophaga castanea";"PASSERIFORMES";"Parulidae";"Bay-breasted Warbler";"Setophaga castanea"
"Piranga flava";"Piranga flava";"PASSERIFORMES";"Cardinalidae";"Red Tanager";"Piranga flava"
"Myrmeciza squamosa";"Myrmoderus squamosus";"PASSERIFORMES";"Thamnophilidae";"Squamate Antbird";"Myrmoderus squamosus"
"Orthopsittaca manilata";"Orthopsittaca manilatus";"PSITTACIFORMES";"Psittacidae";"Red-bellied Macaw";"Orthopsittaca manilatus"
"Nigrita luteifrons";"Nigrita luteifrons";"PASSERIFORMES";"Estrildidae";"Pale-fronted Nigrita";"Nigrita luteifrons"
"Arenaria interpres";"Arenaria interpres";"CHARADRIIFORMES";"Scolopacidae";"Ruddy Turnstone";"Arenaria interpres"
"Tesia cyaniventer";"Tesia cyaniventer";"PASSERIFORMES";"Scotocercidae";"Grey-bellied Tesia";"Tesia cyaniventer"
"Picoides dorsalis";"Picoides tridactylus";"PICIFORMES";"Picidae";"Three-toed Woodpecker";"Picoides dorsalis"
"Merops nubicoides";"Merops nubicoides";"CORACIIFORMES";"Meropidae";"Southern Carmine Bee-eater";"Merops nubicoides"
"Muscisaxicola flavinucha";"Muscisaxicola flavinucha";"PASSERIFORMES";"Tyrannidae";"Ochre-naped Ground-tyrant";"Muscisaxicola flavinucha"
"Erythropygia paena";"Cercotrichas paena";"PASSERIFORMES";"Muscicapidae";"Kalahari Scrub-robin";"Cercotrichas paena"
"Pericrocotus tegimae";"Pericrocotus tegimae";"PASSERIFORMES";"Campephagidae";"Ryukyu Minivet";"Pericrocotus tegimae"
"Cisticola tinniens";"Cisticola tinniens";"PASSERIFORMES";"Cisticolidae";"Levaillant's Cisticola";"Cisticola tinniens"
"Enicurus leschenaulti";"Enicurus leschenaulti";"PASSERIFORMES";"Muscicapidae";"White-crowned Forktail";"Enicurus leschenaulti"
"Xanthocephalus xanthocephalus";"Xanthocephalus xanthocephalus";"PASSERIFORMES";"Icteridae";"Yellow-headed Blackbird";"Xanthocephalus xanthocephalus"
"Manucodia keraudrenii";"Phonygammus keraudrenii";"PASSERIFORMES";"Paradisaeidae";"Trumpet Manucode";"Phonygammus keraudrenii"
"Carpodectes hopkei";"Carpodectes hopkei";"PASSERIFORMES";"Cotingidae";"Black-tipped Cotinga";"Carpodectes hopkei"
"Myiophobus roraimae";"Myiophobus roraimae";"PASSERIFORMES";"Tyrannidae";"Roraiman Flycatcher";"Myiophobus roraimae"
"Zosterops metcalfii";"Zosterops metcalfii";"PASSERIFORMES";"Zosteropidae";"Yellow-throated White-eye";"Zosterops metcalfii"
"Ploceus philippinus";"Ploceus philippinus";"PASSERIFORMES";"Ploceidae";"Baya Weaver";"Ploceus philippinus"
"Cossypha isabellae";"Cossyphicula isabellae";"PASSERIFORMES";"Muscicapidae";"Mountain Robin-chat";"Cossyphicula isabellae"
"Prunella fagani";"Prunella ocularis";"PASSERIFORMES";"Prunellidae";"Radde's Accentor";"Prunella ocularis"
"Erythrocercus livingstonei";"Erythrocercus livingstonei";"PASSERIFORMES";"Scotocercidae";"Livingstone's Flycatcher";"Erythrocercus livingstonei"
"Xiphorhynchus susurrans";"Xiphorhynchus susurrans";"PASSERIFORMES";"Furnariidae";"Cocoa Woodcreeper";"Xiphorhynchus susurrans"
"Henicophaps albifrons";"Henicophaps albifrons";"COLUMBIFORMES";"Columbidae";"New Guinea Bronzewing";"Henicophaps albifrons"
"Columbina inca";"Columbina inca";"COLUMBIFORMES";"Columbidae";"Inca Dove";"Columbina inca"
"Prionops scopifrons";"Prionops scopifrons";"PASSERIFORMES";"Vangidae";"Chestnut-fronted Helmetshrike";"Prionops scopifrons"
"Galbula galbula";"Galbula galbula";"PICIFORMES";"Galbulidae";"Green-tailed Jacamar";"Galbula galbula"
"Ramphastos vitellinus";"Ramphastos vitellinus";"PICIFORMES";"Ramphastidae";"Channel-billed Toucan";"Ramphastos vitellinus"
"Sheppardia sharpei";"Sheppardia sharpei";"PASSERIFORMES";"Muscicapidae";"Sharpe's Akalat";"Sheppardia sharpei"
"Eubucco versicolor";"Eubucco versicolor";"PICIFORMES";"Capitonidae";"Blue-moustached Barbet";"Eubucco versicolor"
"Parus albiventris";"Melaniparus albiventris";"PASSERIFORMES";"Paridae";"White-bellied Tit";"Melaniparus albiventris"
"Megalaima pulcherrima";"Psilopogon pulcherrimus";"PICIFORMES";"Megalaimidae";"Golden-naped Barbet";"Psilopogon pulcherrimus"
"Psophodes cristatus";"Psophodes cristatus";"PASSERIFORMES";"Psophodidae";"Chirruping Wedgebill";"Psophodes cristatus"
"Aulacorhynchus prasinus";"Aulacorhynchus prasinus";"PICIFORMES";"Ramphastidae";"Emerald Toucanet";"Aulacorhynchus prasinus"
"Myiarchus cephalotes";"Myiarchus cephalotes";"PASSERIFORMES";"Tyrannidae";"Pale-edged Flycatcher";"Myiarchus cephalotes"
"Garrulax maesi";"Garrulax maesi";"PASSERIFORMES";"Leiothrichidae";"Grey Laughingthrush";"Garrulax maesi"
"Strix fulvescens";"Strix fulvescens";"STRIGIFORMES";"Strigidae";"Fulvous Owl";"Strix fulvescens"
"Prunella collaris";"Prunella collaris";"PASSERIFORMES";"Prunellidae";"Alpine Accentor";"Prunella collaris"
"Larus serranus";"Larus serranus";"CHARADRIIFORMES";"Laridae";"Andean Gull";"Chroicocephalus serranus"
"Parus spilonotus";"Machlolophus spilonotus";"PASSERIFORMES";"Paridae";"Yellow-cheeked Tit";"Machlolophus spilonotus"
"Zimmerius acer";"Zimmerius acer";"PASSERIFORMES";"Tyrannidae";"Guianan Tyrannulet";"Zimmerius acer"
"Cypseloides senex";"Cypseloides senex";"CAPRIMULGIFORMES";"Apodidae";"Great Dusky Swift";"Cypseloides senex"
"Aythya baeri";"Aythya baeri";"ANSERIFORMES";"Anatidae";"Baer's Pochard";"Aythya baeri"
"Ninox superciliaris";"Athene superciliaris";"STRIGIFORMES";"Strigidae";"White-browed Owl";"Athene superciliaris"
"Geococcyx californianus";"Geococcyx californianus";"CUCULIFORMES";"Cuculidae";"Greater Roadrunner";"Geococcyx californianus"
"Phaenicophaeus sumatranus";"Phaenicophaeus sumatranus";"CUCULIFORMES";"Cuculidae";"Chestnut-bellied Malkoha";"Phaenicophaeus sumatranus"
"Aquila heliaca";"Aquila heliaca";"ACCIPITRIFORMES";"Accipitridae";"Eastern Imperial Eagle";"Aquila heliaca"
"Pitohui kirhocephalus";"Pitohui kirhocephalus";"PASSERIFORMES";"Oriolidae";"Northern Variable Pitohui";"Pitohui kirhocephalus"
"Paradoxornis heudei";"Paradoxornis heudei";"PASSERIFORMES";"Paradoxornithidae";"Reed Parrotbill";"Paradoxornis heudei"
"Procnias albus";"Procnias albus";"PASSERIFORMES";"Cotingidae";"White Bellbird";"Procnias albus"
"Poospiza melanoleuca";"Microspingus melanoleucus";"PASSERIFORMES";"Thraupidae";"Black-capped Warbling-finch";"Microspingus melanoleucus"
"Cyanocorax melanocyaneus";"Cyanocorax melanocyaneus";"PASSERIFORMES";"Corvidae";"Bushy-crested Jay";"Cyanocorax melanocyaneus"
"Hylophilus brunneiceps";"Hylophilus brunneiceps";"PASSERIFORMES";"Vireonidae";"Brown-headed Greenlet";"Hylophilus brunneiceps"
"Nectarinia chloropygia";"Cinnyris chloropygius";"PASSERIFORMES";"Nectariniidae";"Olive-bellied Sunbird";"Cinnyris chloropygius"
"Myiomela major";"Sholicola major";"PASSERIFORMES";"Muscicapidae";"Nilgiri Blue Sholakili";"Sholicola major"
"Artisornis moreaui";"Artisornis moreaui";"PASSERIFORMES";"Cisticolidae";"Long-billed Forest-warbler";"Artisornis moreaui"
"Microeca fascinans";"Microeca fascinans";"PASSERIFORMES";"Petroicidae";"Jacky Winter";"Microeca fascinans"
"Pycnonotus sinensis";"Pycnonotus sinensis";"PASSERIFORMES";"Pycnonotidae";"Light-vented Bulbul";"Pycnonotus sinensis"
"Puffinus yelkouan";"Puffinus yelkouan";"PROCELLARIIFORMES";"Procellariidae";"Yelkouan Shearwater";"Puffinus yelkouan"
"Piranga olivacea";"Piranga olivacea";"PASSERIFORMES";"Cardinalidae";"Scarlet Tanager";"Piranga olivacea"
"Thalassarche chrysostoma";"Thalassarche chrysostoma";"PROCELLARIIFORMES";"Diomedeidae";"Grey-headed Albatross";"Thalassarche chrysostoma"
"Nectarinia stuhlmanni";"Cinnyris stuhlmanni";"PASSERIFORMES";"Nectariniidae";"Rwenzori Double-collared Sunbird";"Cinnyris stuhlmanni"
"Galbula ruficauda";"Galbula ruficauda";"PICIFORMES";"Galbulidae";"Rufous-tailed Jacamar";"Galbula ruficauda"
"Megalaima rubricapillus";"Psilopogon rubricapillus";"PICIFORMES";"Megalaimidae";"Sri Lanka Barbet";"Psilopogon rubricapillus"
